Packet,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
168,0.01318397931754589,0.10619541257619858,0.18450619280338287,0.1265106201171875,-0.187530517578125,0.0,0,0,0
169,0.01318397931754589,0.10619541257619858,0.18450619280338287,0.1265106201171875,-0.187530517578125,0.0,0,0,0
170,0.01318397931754589,0.10619541257619858,0.18450619280338287,0.1265106201171875,-0.187530517578125,0.0,0,0,0
171,0.01318397931754589,0.10619541257619858,0.18450619280338287,0.1265106201171875,-0.187530517578125,0.0,0,0,0
172,0.01318397931754589,0.10619541257619858,0.18450619280338287,0.1265106201171875,-0.187530517578125,0.0,0,0,0
173,0.01318397931754589,0.10619541257619858,0.18450619280338287,0.1265106201171875,-0.187530517578125,0.0,0,0,0
174,0.0071178306825459,-0.01630493812263012,0.37381914258003235,-0.0045318603515625,-0.196807861328125,0.0,0,0,0
175,0.0071178306825459,-0.01630493812263012,0.37381914258003235,-0.0045318603515625,-0.196807861328125,0.0,0,0,0
176,0.0071178306825459,-0.01630493812263012,0.37381914258003235,-0.0045318603515625,-0.196807861328125,0.0,0,0,0
177,0.0071178306825459,-0.01630493812263012,0.37381914258003235,-0.0045318603515625,-0.196807861328125,0.0,0,0,0
178,0.0071178306825459,-0.01630493812263012,0.37381914258003235,-0.0045318603515625,-0.196807861328125,0.0,0,0,0
179,0.0071178306825459,-0.01630493812263012,0.37381914258003235,-0.0045318603515625,-0.196807861328125,0.0,0,0,0
180,0.0071178306825459,-0.01630493812263012,0.37381914258003235,-0.0045318603515625,-0.196807861328125,0.0,0,0,0
181,0.00293400464579463,0.03897695988416672,0.3171499967575073,-0.1783447265625,-0.15301513671875,0.0,0,0,0
182,0.00293400464579463,0.03897695988416672,0.3171499967575073,-0.1783447265625,-0.15301513671875,0.0,0,0,0
183,0.00293400464579463,0.03897695988416672,0.3171499967575073,-0.1783447265625,-0.15301513671875,0.0,0,0,0
184,0.00293400464579463,0.03897695988416672,0.3171499967575073,-0.1783447265625,-0.15301513671875,0.0,0,0,0
185,0.00293400464579463,0.03897695988416672,0.3171499967575073,-0.1783447265625,-0.15301513671875,0.0,0,0,0
186,0.00293400464579463,0.03897695988416672,0.3171499967575073,-0.1783447265625,-0.15301513671875,0.0,0,0,0
187,0.008808937855064869,0.03193875774741173,0.20190808176994324,-0.21044921875,-0.077880859375,0.0,0,0,0
188,0.008808937855064869,0.03193875774741173,0.20190808176994324,-0.21044921875,-0.077880859375,0.0,0,0,0
189,0.008808937855064869,0.03193875774741173,0.20190808176994324,-0.21044921875,-0.077880859375,0.0,0,0,0
190,0.008808937855064869,0.03193875774741173,0.20190808176994324,-0.21044921875,-0.077880859375,0.0,0,0,0
191,0.008808937855064869,0.03193875774741173,0.20190808176994324,-0.21044921875,-0.077880859375,0.0,0,0,0
192,-0.0013108078856021166,0.010182330384850502,0.030192790552973747,-0.21026611328125,-0.015716552734375,0.0,0,0,0
193,-0.0013108078856021166,0.010182330384850502,0.030192790552973747,-0.21026611328125,-0.015716552734375,0.0,0,0,0
194,-0.0013108078856021166,0.010182330384850502,0.030192790552973747,-0.21026611328125,-0.015716552734375,0.0,0,0,0
195,-0.0013108078856021166,0.010182330384850502,0.030192790552973747,-0.21026611328125,-0.015716552734375,0.0,0,0,0
196,-0.0013108078856021166,0.010182330384850502,0.030192790552973747,-0.21026611328125,-0.015716552734375,0.0,0,0,0
197,-0.0013108078856021166,0.010182330384850502,0.030192790552973747,-0.21026611328125,-0.015716552734375,0.0,0,0,0
198,-0.0013108078856021166,0.010182330384850502,0.030192790552973747,-0.21026611328125,-0.015716552734375,0.0,0,0,0
199,-0.0057036918587982655,-0.008697617799043655,-0.001990979304537177,-0.061798095703125,-0.0199432373046875,0.0,0,0,0
200,-0.0057036918587982655,-0.008697617799043655,-0.001990979304537177,-0.061798095703125,-0.0199432373046875,0.0,0,0,0
201,-0.0057036918587982655,-0.008697617799043655,-0.001990979304537177,-0.061798095703125,-0.0199432373046875,0.0,0,0,0
202,-0.0057036918587982655,-0.008697617799043655,-0.001990979304537177,-0.061798095703125,-0.0199432373046875,0.0,0,0,0
203,-0.0057036918587982655,-0.008697617799043655,-0.001990979304537177,-0.061798095703125,-0.0199432373046875,0.0,0,0,0
204,-0.0057036918587982655,-0.008697617799043655,-0.001990979304537177,-0.061798095703125,-0.0199432373046875,0.0,0,0,0
205,-0.00042344260145910084,0.007392668630927801,-0.0009408948244526982,0.0007476806640625,-0.0242919921875,0.0,0,0,0
206,-0.00042344260145910084,0.007392668630927801,-0.0009408948244526982,0.0007476806640625,-0.0242919921875,0.0,0,0,0
207,-0.00042344260145910084,0.007392668630927801,-0.0009408948244526982,0.0007476806640625,-0.0242919921875,0.0,0,0,0
208,-0.00042344260145910084,0.007392668630927801,-0.0009408948244526982,0.0007476806640625,-0.0242919921875,0.0,0,0,0
209,-0.00042344260145910084,0.007392668630927801,-0.0009408948244526982,0.0007476806640625,-0.0242919921875,0.0,0,0,0
210,-0.006699447985738516,-0.0070429956540465355,0.0007275756215676665,-0.005615234375,-0.0066986083984375,0.0,0,0,0
211,-0.006699447985738516,-0.0070429956540465355,0.0007275756215676665,-0.005615234375,-0.0066986083984375,0.0,0,0,0
212,-0.006699447985738516,-0.0070429956540465355,0.0007275756215676665,-0.005615234375,-0.0066986083984375,0.0,0,0,0
213,-0.006699447985738516,-0.0070429956540465355,0.0007275756215676665,-0.005615234375,-0.0066986083984375,0.0,0,0,0
214,-0.006699447985738516,-0.0070429956540465355,0.0007275756215676665,-0.005615234375,-0.0066986083984375,0.0,0,0,0
215,-0.006699447985738516,-0.0070429956540465355,0.0007275756215676665,-0.005615234375,-0.0066986083984375,0.0,0,0,0
216,-0.006699447985738516,-0.0070429956540465355,0.0007275756215676665,-0.005615234375,-0.0066986083984375,0.0,0,0,0
217,-0.005178783088922501,0.004218979738652706,0.0007840346079319715,-0.007965087890625,-0.01708984375,0.0,0,0,0
218,-0.005178783088922501,0.004218979738652706,0.0007840346079319715,-0.007965087890625,-0.01708984375,0.0,0,0,0
219,-0.005178783088922501,0.004218979738652706,0.0007840346079319715,-0.007965087890625,-0.01708984375,0.0,0,0,0
220,-0.005178783088922501,0.004218979738652706,0.0007840346079319715,-0.007965087890625,-0.01708984375,0.0,0,0,0
221,-0.005178783088922501,0.004218979738652706,0.0007840346079319715,-0.007965087890625,-0.01708984375,0.0,0,0,0
222,-0.005178783088922501,0.004218979738652706,0.0007840346079319715,-0.007965087890625,-0.01708984375,0.0,0,0,0
223,0.0013233247445896268,-0.0016903083305805922,0.0004814995336346328,-0.00567626953125,-0.01629638671875,0.0,0,0,0
224,0.0013233247445896268,-0.0016903083305805922,0.0004814995336346328,-0.00567626953125,-0.01629638671875,0.0,0,0,0
225,0.0013233247445896268,-0.0016903083305805922,0.0004814995336346328,-0.00567626953125,-0.01629638671875,0.0,0,0,0
226,0.0013233247445896268,-0.0016903083305805922,0.0004814995336346328,-0.00567626953125,-0.01629638671875,0.0,0,0,0
